epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.5084,0.28263,0.77738,0.80815,0.8338,0.89335,0.89181,0.87234,0.25384,0.50486,0.79157,0.00019992,0.00019992,0.00019992
2,88.1926,0.29908,0.8429,0.82007,0.80286,0.87786,0.8878,0.86412,0.27277,0.62491,0.79415,0.000366689,0.000366689,0.000366689
3,127.503,0.30407,0.83362,0.82173,0.80571,0.86473,0.86193,0.8376,0.28438,0.61674,0.79952,0.00049246,0.00049246,0.00049246
4,166.765,0.31643,0.79546,0.82703,0.68254,0.84275,0.82988,0.80176,0.28917,0.74885,0.79558,0.000501942,0.000501942,0.000501942
5,207.958,0.3108,0.77708,0.82728,0.79294,0.84579,0.85973,0.83627,0.28124,0.60292,0.80313,0.000431256,0.000431256,0.000431256
6,247.5,0.30258,0.77193,0.82325,0.73028,0.79862,0.86631,0.83743,0.27949,0.81913,0.79699,0.00036057,0.00036057,0.00036057
7,286.092,0.29232,0.73245,0.82019,0.83586,0.90836,0.92391,0.90575,0.27006,0.55893,0.79628,0.000289884,0.000289884,0.000289884
8,326.05,0.28414,0.64805,0.81632,0.79092,0.88311,0.91591,0.89539,0.25316,0.54018,0.79127,0.000219198,0.000219198,0.000219198
9,366.49,0.27713,0.60129,0.81028,0.83735,0.85596,0.90295,0.88147,0.25259,0.49392,0.79025,0.000148512,0.000148512,0.000148512
10,404.69,0.26243,0.53072,0.81112,0.8727,0.87659,0.91088,0.89175,0.24329,0.44364,0.786,7.7826e-05,7.7826e-05,7.7826e-05
