epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.1833,0.54764,3.79282,0.96974,0.00749,0.98571,0.16452,0.14897,0.40091,3.03245,0.80911,0.00019992,0.00019992,0.00019992
2,81.1104,0.55222,2.70586,0.93786,0.73453,0.20137,0.3216,0.2911,0.45549,2.60609,0.84988,0.000398922,0.000398922,0.000398922
3,114.602,0.54865,2.31252,0.92934,0.60062,0.2247,0.31209,0.28653,0.41149,2.56291,0.83584,0.000589724,0.000589724,0.000589724
4,146.878,0.5166,2.1323,0.91493,0.31482,0.72265,0.42451,0.38744,0.4164,1.83234,0.855,0.000671588,0.000671588,0.000671588
5,181.312,0.48057,1.99893,0.90318,0.57607,0.41764,0.51066,0.46439,0.43912,1.60335,0.86648,0.000657451,0.000657451,0.000657451
6,217.665,0.47198,1.82707,0.89258,0.51881,0.55886,0.52925,0.4947,0.37662,1.5599,0.85169,0.000643314,0.000643314,0.000643314
7,254.231,0.49181,1.72446,0.90451,0.38203,0.71714,0.51157,0.47637,0.37553,1.46401,0.84381,0.000629177,0.000629177,0.000629177
8,292.8,0.45796,1.62944,0.89241,0.4569,0.70501,0.62329,0.59752,0.33057,1.19864,0.838,0.00061504,0.00061504,0.00061504
9,328.344,0.42265,1.57399,0.87771,0.44781,0.66167,0.59779,0.55932,0.33597,1.22792,0.83392,0.000600902,0.000600902,0.000600902
10,364.464,0.41544,1.53086,0.8728,0.63753,0.60018,0.65576,0.62545,0.33752,1.3524,0.8446,0.000586765,0.000586765,0.000586765
11,399.02,0.42998,1.43618,0.88677,0.44538,0.75941,0.65803,0.62366,0.34046,1.40928,0.83615,0.000572628,0.000572628,0.000572628
12,434.69,0.43308,1.33398,0.87677,0.62504,0.66262,0.62674,0.59927,0.32403,1.22847,0.83219,0.000558491,0.000558491,0.000558491
